,Gender,Age,Education,Monthly Household Income,Social Identity,Residential Area,Overseas Travel Experience,Travel Experience to Mainland,Friend/Relatives in Mainland China,label
0,2,3,2,3,3,2,3,3,1,1
1,2,2,3,3,4,3,2,3,1,1
2,2,2,3,3,1,2,3,3,1,0
3,1,4,1,2,1,2,2,3,1,2
4,2,3,2,3,4,2,2,3,1,1
5,1,2,3,4,1,3,3,2,2,0
6,2,1,3,3,1,2,3,2,2,0
7,2,2,3,4,1,1,3,4,2,0
8,2,2,3,4,3,1,3,3,1,1
9,2,2,3,3,1,3,3,3,1,0
10,2,2,3,3,1,3,3,3,1,0
11,1,2,3,2,1,3,3,2,2,0
12,2,2,2,4,4,2,3,2,2,1
13,1,1,2,2,1,2,3,4,1,0
14,1,1,1,2,1,2,1,1,2,0
15,2,2,3,3,1,1,3,2,1,0
16,1,2,3,2,1,1,3,2,2,0
17,2,1,3,2,1,3,2,3,1,0
18,2,3,3,4,1,2,3,3,1,0
19,2,1,1,1,1,3,2,3,1,0
20,1,3,1,3,1,2,1,3,1,2
21,1,1,3,2,4,3,3,3,1,1
22,1,2,3,3,1,3,3,3,1,0
23,1,3,3,4,4,3,3,3,1,1
24,1,2,2,2,1,3,2,2,1,0
25,1,1,3,2,1,1,3,3,1,0
26,1,2,3,2,1,3,3,3,1,0
27,2,2,3,3,1,2,3,3,1,0
28,2,3,1,2,4,2,3,4,1,1
29,2,3,2,3,3,2,3,2,1,1
30,2,1,3,4,1,2,2,3,1,0
31,1,2,3,2,1,2,3,1,1,0
32,2,1,3,3,1,3,3,3,1,0
33,2,2,1,3,4,3,3,4,1,1
34,2,2,3,3,1,3,3,3,1,0
35,1,1,3,4,1,3,3,3,1,0
36,1,1,3,3,1,3,3,3,2,0
37,2,1,3,4,3,3,3,3,1,0
38,1,2,3,2,4,2,2,3,1,1
39,1,1,3,3,1,2,2,3,1,0
40,1,2,3,4,1,2,3,3,1,0
41,1,1,3,2,1,2,3,2,2,0
42,2,1,3,4,1,1,3,3,1,0
43,1,2,3,4,1,2,3,2,2,0
44,1,2,3,3,1,3,3,3,1,0
45,1,2,3,4,1,1,3,3,1,0
46,1,1,3,3,1,1,2,3,1,0
47,1,3,3,4,1,2,2,1,2,0
48,2,2,3,3,1,3,3,2,2,0
49,1,1,2,2,1,2,3,2,1,0
50,2,2,2,2,1,3,3,2,1,0
51,2,3,1,2,1,3,2,2,2,2
52,2,2,1,2,1,3,3,2,2,0
53,2,3,1,4,1,3,3,3,1,2
54,2,3,1,4,4,3,3,2,2,1
55,1,4,1,2,3,3,3,2,2,2
56,2,3,1,2,3,3,3,3,1,1
57,2,4,1,1,1,3,3,2,1,2
58,1,1,2,2,1,3,2,2,1,0
59,2,4,1,2,1,2,3,2,2,2
60,2,1,1,1,1,2,2,1,2,0
61,1,4,1,1,3,3,1,3,2,2
62,1,1,1,1,1,3,1,1,1,0
63,2,4,1,4,1,2,3,3,1,2
64,1,4,1,1,1,2,3,3,1,2
65,2,4,1,2,4,3,3,3,1,1
66,2,4,1,4,4,3,3,2,2,1
67,2,1,1,1,1,2,1,4,2,0
68,2,4,1,1,3,2,2,4,1,2
69,2,3,1,4,1,3,3,2,1,2
70,2,4,1,1,1,2,2,2,1,2
71,2,1,1,1,1,3,3,1,1,0
72,2,1,1,1,1,3,3,3,1,0
73,2,3,1,4,1,3,3,2,1,2
74,2,2,2,1,1,3,3,2,1,0
75,1,2,3,3,1,3,3,2,1,0
76,2,2,1,2,4,2,3,3,1,1
77,2,2,1,2,2,3,2,4,1,0
78,2,4,1,4,1,1,3,1,2,2
79,1,3,1,2,1,2,3,2,2,2
80,2,3,1,4,3,2,3,3,1,1
81,2,4,1,2,3,2,3,2,1,2
82,1,1,2,1,4,2,2,2,2,1
83,2,1,2,1,1,3,2,2,2,0
84,1,4,1,4,4,3,3,2,1,1
85,1,3,2,3,1,2,3,2,2,2
86,1,2,1,2,1,3,3,3,1,0
87,1,3,2,3,1,1,3,2,2,2
88,1,1,2,3,1,3,2,4,1,0
89,1,4,1,3,2,1,3,2,1,2
90,2,1,1,1,1,3,3,2,1,0
91,2,4,1,1,1,3,1,4,1,2
92,2,4,1,4,3,3,3,2,1,1
93,2,4,1,3,1,3,3,3,1,2
94,2,4,1,1,1,3,2,2,2,2
95,2,4,1,4,1,1,3,3,1,2
96,1,4,1,1,1,2,3,3,1,2
97,2,4,1,3,3,2,3,2,2,2
98,1,4,2,1,1,2,3,4,1,2
99,2,4,1,4,1,1,3,2,2,2
100,1,4,1,4,1,3,3,2,2,2
101,1,4,1,4,2,3,3,3,1,2
102,2,4,1,4,3,3,3,4,1,1
103,1,4,1,4,1,3,3,4,1,2
104,2,4,1,1,4,2,1,2,2,1
105,1,4,2,4,1,3,3,3,1,2
106,2,4,1,2,4,1,2,2,2,1
107,1,2,1,3,1,3,3,4,1,2
108,1,4,2,2,1,2,3,4,1,2
109,1,4,3,1,2,1,3,2,2,2
110,2,4,3,3,3,2,3,3,1,1
111,2,2,2,1,1,1,3,3,1,0
112,2,4,1,3,1,3,2,2,2,2
113,1,4,1,2,1,2,3,4,1,2
114,1,4,1,1,3,1,3,3,1,2
115,1,4,1,1,4,3,3,2,2,1
116,1,1,3,2,1,1,3,1,2,0
117,1,1,3,3,1,3,3,2,1,0
118,2,1,3,2,1,1,3,3,1,0
119,2,1,3,4,3,3,3,3,1,0
120,2,1,3,2,1,2,2,2,2,0
121,2,2,3,4,1,2,3,3,1,0
122,2,1,2,3,3,3,3,3,1,1
123,1,1,3,4,4,2,3,3,1,1
124,2,4,2,4,4,2,3,4,1,1
125,2,4,1,1,1,3,3,2,2,2
126,2,4,3,2,1,3,3,3,1,2
127,1,3,2,3,3,2,3,3,1,1
128,2,4,3,3,4,3,3,3,1,1
